SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn
02_0027_S,842373.7366,253555.375,251,47.5975602,21.60601244,134.1705963,7.578775883,25844.90039,1.703426003,4.310191631,4.987858772,7.805672646,5944.967773,4191.496094,253.955307,1.56395781,,,1689.587036,33.55971527,40.18299103
06_0093_S,841764.5603,250237.348,252,47.56791088,21.59647826,164.7,,,,,,,,,,,,,,,
02_0028_S,841059.6168,252813.3663,253,47.59127504,21.58822651,125.4863075,7.920641899,29129.94922,1.568696618,9.018389702,105.9797058,24.41114998,11144.71582,14330.08984,645.5654907,1.042002439,24.31033325,,3304.649902,112.3416901,65.84471893
02_0029_S,841879.0173,251952.7163,254,47.5832981,21.59874222,124.6259113,9.157177925,25294.25195,0.574748635,8.868629456,123.3813782,35.03453827,10587.30859,13926.11035,605.3671265,0.700051665,33.96399689,,3129.939941,113.1695251,61.93149185
06_0094_S,842042.326,249849.1823,255,47.56433987,21.59999949,164.18,,,,,,,,,,,,,,,
02_0030_S,840634.8716,253422.8089,256,47.59687776,21.58284473,129.4555457,8.975334167,30921.12695,1.154339552,7.76477766,87.9565506,22.86405563,9369.155273,13196.33887,502.0615845,0.981693327,22.84765816,,2598.563477,90.12821198,88.3457489
08_0022_S,842709.0182,245256.9353,257,47.52286032,21.60685765,163.98,9.462675095,26210.25391,4.026876926,6.029912472,26.42921257,18.01649666,7524.470215,5748.773926,277.2963257,2.570522308,,3.547297001,1381.227661,38.11278152,42.89214706
08_0025_S,842945.1515,244751.1674,258,47.51824399,21.60977153,162.98,10.17550087,26156.86523,5.201312065,3.265234232,,12.75637722,4634.647949,1285.446289,77.60103607,3.484634161,,9.697519302,715.3966675,,68.40335846
08_0024_S,843073.7025,245896.5587,259,47.52850301,21.61197611,166.4,10.73557854,25775.80664,2.837188482,7.365977764,23.63250542,23.07034492,9096.522461,8355.09668,232.3432617,2.056525469,,14.38007355,1455.29834,44.04558182,106.1810226
08_0025_S,843644.889,245446.1128,260,47.52428488,21.61936081,164.6,10.17550087,26156.86523,5.201312065,3.265234232,,12.75637722,4634.647949,1285.446289,77.60103607,3.484634161,,9.697519302,715.3966675,,68.40335846
08_0026_S,843648.1002,245248.1746,261,47.5225045,21.619317,164.16,11.84118795,27088.04688,0.968769044,5.952507973,49.7350235,26.88650608,7948.733887,9156.540527,266.7064209,1.09634006,12.75519609,25.63218021,1997.946594,57.77379227,137.261055
08_0027_S,843726.0306,245748.3181,262,47.52697765,21.62056974,168.88,8.102485657,33090.21875,2.171167612,4.007305145,95.41440582,18.11963463,5890.468262,8915.456055,269.5159912,1.292724371,13.29151344,,3000.316406,103.0975723,37.8501091
06_0095_S,844027.3041,247559.0246,263,47.5431663,21.62536095,175,,,,,,,,,,,,,,,
06_0097_S,844224.1805,248114.893,264,47.54810503,21.62821846,182.7,,,,,,,,,,,,,,,
06_0099_S,843405.4683,249247.2107,265,47.55852676,21.61784195,174.8,,,,,,,,,,,,,,,
06_0100_S,843460.8698,249388.9579,266,47.55978465,21.61863963,173.1,,,,,,,,,,,,,,,
06_0101_S,843516.6665,249344.28,267,47.55936651,21.61936114,171.44,,,,,,,,,,,,,,,
06_0102_S,843917.9324,249698.5956,268,47.56243291,21.62484541,171.82,,,,,,,,,,,,,,,
06_0103_S,843877.0062,249793.4168,269,47.56329745,21.62434336,169.18,,,,,,,,,,,,,,,
06_0104_S,843742.015,249848.435,270,47.56383204,21.6225745,174.48,,,,,,,,,,,,,,,
06_0105_S,843875.2593,249421.69,271,47.55995625,21.62415742,167.02,,,,,,,,,,,,,,,
06_0106_S,843876.7534,249270.8021,272,47.55859937,21.62411121,178.48,,,,,,,,,,,,,,,
06_0107_S,843795.7078,249075.5309,273,47.55686794,21.62294944,184.88,,,,,,,,,,,,,,,
06_0108_S,841965.4197,247997.2266,274,47.54771368,21.59817542,116.6727563,,,,,,,,,,,,,,,
06_0109_S,842026.5226,247643.8036,275,47.54451853,21.59883359,116.107067,,,,,,,,,,,,,,,
06_0110_S,841760.9912,247544.5773,276,47.54370435,21.59526513,113.7342769,,,,,,,,,,,,,,,
06_0111_S,841624.6192,247576.5013,277,47.54403128,21.59346832,112.2997834,,,,,,,,,,,,,,,
07_0015_S,840627.2736,247550.478,278,47.54408858,21.58021519,117.8501416,9.208093643,24704.86914,3.236293554,8.461416245,34.1978035,344.7258911,10740.32031,7195.282715,344.7258911,2.099996328,,0.192634776,1879.594604,46.39109802,85.4108429
07_0016_S,840360.2172,247632.6275,279,47.54490483,21.57670471,119.8069744,24.63569641,28337.47461,1.769519925,14.08332157,129.5962524,685.7639771,15862.38965,13098.60254,685.7639771,1.121596575,20.60488892,146.0506897,2885.989746,102.9596024,42.81689453
07_0017_S,839727.8551,247763.2411,280,47.54626266,21.56836446,121.2695337,7.935189247,28499.73828,2.641449451,9.420556068,77.39123535,416.0456238,11431.14551,11104.7666,416.0456238,1.790496111,13.38902283,,2348.172119,84.47135925,646.2059937
07_0018_S,839668.8283,247075.4603,281,47.54009664,21.56728636,117.8413767,23.21004295,29785.2832,5.412304401,13.40687561,123.6921158,1034.582275,16850.54492,4465.160156,1034.582275,3.297587395,,134.9383545,1630.008545,36.31916046,134.3261414
07_0019_S,839914.4425,247075.6951,282,47.54002753,21.57054729,117.8198736,9.59360218,28978.15234,3.045638323,7.946509838,34.81930161,317.0624695,10131.03613,6230.943359,317.0624695,2.091118336,,3.896744013,1757.216919,44.73544693,85.71185303
