SampleID,EOVXX,EOVYY,OID_,esrignss_l,esrignss_1,esrignss_a,Medián_As,Medián_Ca,Medián_Cd,Medián_Co,Medián_Cr,Medián_Cu,Medián_Fe,Medián_K,Medián_Mn,Medián_Mo,Medián_Ni,Medián_Pb,Medián_Ti,Medián_V,Medián_Zn,Medián_As_Gi_Zscore,Medián_Ca_Gi_Zscore,Medián_Cd_Gi_Zscore,Medián_Co_Gi_Zscore,Medián_Cr_Gi_Zscore,Medián_Cu_Gi_Zscore,Medián_Fe_Gi_Zscore,Medián_K_Gi_Zscore,Medián_Mn_Gi_Zscore,Medián_Mo_Gi_Zscore,Medián_Ni_Gi_Zscore,Medián_Pb_Gi_Zscore,Medián_Ti_Gi_Zscore,Medián_V_Gi_Zscore,Medián_Zn_Gi_Zscore
03_0014_S,840465.188,252635.7406,86.0,47.58985163,21.58025065,130.0767562,10.08094215,25989.36719,1.352621317,8.330164909,93.23918915,20.59498215,10384.9043,11971.36816,399.1882629,0.931181431,23.04267693,8.159963608,3187.908203,104.2013474,68.17759705,-0.7227496269803441,-0.5150680254614283,-0.5447052183680935,-0.556227465674078,0.3912313484142224,-0.5078966361967796,-0.4820985137252692,0.3792265228926702,-0.9500130982250379,-0.9058300919182324,0.4980356096793326,-0.7547349049567041,1.4590249369909307,0.8976470424206582,-0.9055117171853949
06_0012_S,844652.4962,250308.9989,95.0,47.5677021,21.63486984,181.063623,18.92,24758.26,0.96,11.16,92.31,53.81,13433.53,12368.83,615.31,1.4,23.435,92.66,2510.81,96.34,133.8,1.3156378550793193,-0.8394750107715393,-1.0816772777892318,0.7470221317459741,0.3553659844786392,-0.2787656121788352,0.8065487125096613,0.565912588196248,0.5870731077771977,0.38052830409625116,0.5378278996755188,1.508613283410828,-0.21101342967680137,0.48518193853557573,-0.1290886101017391
06_0013_S,844696.5042,249789.6712,96.0,47.56302042,21.63522604,169.76,11.83,24090.36,1.62,9.57,69.31,29.88,11533.38,8733.01,709.54,1.52,15.315,25.455,2092.545,61.57,69.605,-0.4125184531792264,-1.5078356275152407,-0.25415526910790165,-0.417097815804226,-1.011198923439379,-0.6165063645985303,-0.4370116694658025,-1.2669105148076165,0.02605336070085542,-1.2711181273273244,0.07705053369175523,-0.37455342814191916,-1.5111437907398533,-1.5055896519338483,-0.9847037980620293
06_0014_S,845119.5374,249594.2619,97.0,,,,12.08,23736.52,1.62,8.23,59.99,32.66,10061.015,9795.09,361.15,0.35,22.02,27.52,2237.065,72.19,102.57,-0.4125184531792264,-1.5078356275152407,-0.25415526910790165,-0.417097815804226,-1.011198923439379,-0.6165063645985303,-0.4370116694658025,-1.2669105148076165,0.02605336070085542,-1.2711181273273244,0.07705053369175523,-0.37455342814191916,-1.5111437907398533,-1.5055896519338483,-0.9847037980620293
11_0017_S,845372.6865,248190.9948,104.0,,,,10.83013821,24348.93555,1.034862399,8.136654854,91.99621582,28.53674507,10019.55469,11267.66016,499.4681396,0.778727591,30.16103363,15.84774113,2866.666748,92.74967194,95.57017517,-0.739392539777964,-1.4947941374948068,-2.3632262693568684,0.10919998096502649,1.2155065238897993,-0.8921053929216631,0.19440502579381386,1.5564451041379996,-0.08122094629162513,-2.9601768850018493,2.5104585131220722,-0.6869797881675487,2.1168277207282085,1.6310513358710073,-0.6746229212839462
11_0017_S,845619.8582,248466.9331,105.0,47.55085406,21.64690546,161.1,10.83013821,24348.93555,1.034862399,8.136654854,91.99621582,28.53674507,10019.55469,11267.66016,499.4681396,0.778727591,30.16103363,15.84774113,2866.666748,92.74967194,95.57017517,-0.28906601326648174,-1.346302007699608,-1.778883844747202,0.3978616148707271,1.4715853790268865,-0.5944347228205885,0.35100200642889606,1.1699612230150398,-0.2362275478768322,-2.331739559026442,1.8455305398580748,-0.18271516354876308,1.6071651866242178,1.1641014330115391,-0.22121952410207346
11_0017_S,844684.8981,247566.8193,107.0,47.5430411,21.63409503,161.8,10.83013821,24348.93555,1.034862399,8.136654854,91.99621582,28.53674507,10019.55469,11267.66016,499.4681396,0.778727591,30.16103363,15.84774113,2866.666748,92.74967194,95.57017517,0.9398268930643952,0.11852751335179278,0.5962895654082846,0.009822273837052746,-0.5956926777468365,-0.7823301370119793,0.06530923909744071,-0.5396434544339385,-0.2856605424895689,-0.09735605196599527,-0.2629779781687726,1.1908448050698364,0.06977472123540393,-0.1597193153087768,1.5988391352926705
11_0020_S,845055.8483,247472.1057,110.0,47.54207921,21.6389783,166.96,12.82314301,25423.01563,2.839731216,8.80132103,41.96641159,40.08838654,10724.72949,7710.03125,482.1784668,1.669880152,4.710481644,34.57794952,2055.915039,60.87815094,176.4685516,-0.3071236492193273,-0.9600756704735369,-0.3117711858999943,-0.5492227731775853,0.06186257563311125,-0.21473882987284817,-0.4747070717167169,-0.3430183545825012,-0.698624177797974,-0.8893271809998964,-0.10146849853900372,-0.19431078869826562,0.8638963139800022,0.3221902374635491,0.3766514047648145
11_0021_S,845244.7938,247926.7586,111.0,47.54611007,21.64168712,168.7,12.15395832,26220.72266,1.522940159,10.49580193,88.57803345,42.35746002,12878.47168,13665.47949,526.6992798,1.039858937,25.87051773,28.5675106,3085.658447,108.6164398,105.4284744,-0.7292544422013204,-1.6764347718542856,-1.4619958262278394,-0.3825046978349111,0.5578320604973444,-0.9387348689571499,-0.27666048252851166,0.589267031383158,-0.2639030176025672,-1.9217924816869953,0.9476203320918223,-0.6578200150746738,1.226398841108458,0.9644475698462269,-0.6527730618765237
06_0022_S,844767.492,248298.6195,112.0,47.54959521,21.63551325,161.125,14.98,24919.47,1.65,9.33,71.18,42.87,11527.73,11176.44,559.55,1.14,20.12,55.61,2683.1,81.85,149.38,0.4070289495142227,-0.7969948347749685,-0.13799260006556832,-0.09576435106490562,-0.460221606012353,-0.35423428764595716,0.0009713391513866254,0.005852288049363482,0.19050065746865968,-0.33286746364639935,0.20159622882996467,0.5162225820624888,0.21393365911820977,-0.2750718768974948,0.05524892501687307
